"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a47","Cluster_DWH","cpu.usage.average","%","11","0,3373","0,36","0,36","0,36","0,3","28/08/2026 00:00:00","07/09/2026 00:00:00"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a47","Cluster_DWH","cpu.usagemhz.average","MHz","11","6,4545","7","7","7","6","28/08/2026 00:00:00","07/09/2026 00:00:00"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a47","Cluster_DWH","mem.consumed.average","KB","11","133114,3636","133120","133120","133120","133058","28/08/2026 00:00:00","07/09/2026 00:00:00"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a47","Cluster_DWH","mem.usage.average","%","11","8,65","9,45","9,45","9,45","8,41","28/08/2026 00:00:00","07/09/2026 00:00:00"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a47","Cluster_DWH","mem.vmmemctl.average","KB","11","0","0","0","0","0","28/08/2026 00:00:00","07/09/2026 00:00:00"
"VM","vCLS-7b969e4c-8513-4924-baf8-d85bba09d561","Cluster_PF_BSS","cpu.ready.summation","millisecond","359","1734,4234","2550","2707","2813","1308","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-7b969e4c-8513-4924-baf8-d85bba09d561","Cluster_PF_BSS","cpu.usage.average","%","359","0,1766","0,2","0,21","0,22","0,16","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-7b969e4c-8513-4924-baf8-d85bba09d561","Cluster_PF_BSS","cpu.usagemhz.average","MHz","359","4,2117","5","5","5","4","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-7b969e4c-8513-4924-baf8-d85bba09d561","Cluster_PF_BSS","disk.usage.average","KBps","359","6,6323","11","13","24","3","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-7b969e4c-8513-4924-baf8-d85bba09d561","Cluster_PF_BSS","mem.consumed.average","KB","359","130073,7688","130114","130120","130121","128790","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-7b969e4c-8513-4924-baf8-d85bba09d561","Cluster_PF_BSS","mem.usage.average","%","359","18,1112","18,93","19,27","22,93","16,43","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-7b969e4c-8513-4924-baf8-d85bba09d561","Cluster_PF_BSS","mem.vmmemctl.average","KB","359","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-b93934bd-ecd7-4c7e-8d3b-60f36e1fa7b2","Cluster_BSS","cpu.ready.summation","millisecond","359","2044,8496","2313","2455","2535","1462","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-b93934bd-ecd7-4c7e-8d3b-60f36e1fa7b2","Cluster_BSS","cpu.usage.average","%","359","0,2587","0,31","0,31","0,35","0,22","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-b93934bd-ecd7-4c7e-8d3b-60f36e1fa7b2","Cluster_BSS","cpu.usagemhz.average","MHz","359","5,844","7","7","8","5","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-b93934bd-ecd7-4c7e-8d3b-60f36e1fa7b2","Cluster_BSS","disk.usage.average","KBps","359","8,2563","12","14","29","3","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-b93934bd-ecd7-4c7e-8d3b-60f36e1fa7b2","Cluster_BSS","mem.consumed.average","KB","359","128815,7744","130131","130139","130161","125339","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-b93934bd-ecd7-4c7e-8d3b-60f36e1fa7b2","Cluster_BSS","mem.usage.average","%","359","18,3469","19,19","19,52","23,49","16,81","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-b93934bd-ecd7-4c7e-8d3b-60f36e1fa7b2","Cluster_BSS","mem.vmmemctl.average","KB","359","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-e1a4bd89-7d0d-48c2-bf3f-c78fac7b6cce","Cluster_ESS","cpu.ready.summation","millisecond","359","1495,3398","1623","1647","1692","1253","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-e1a4bd89-7d0d-48c2-bf3f-c78fac7b6cce","Cluster_ESS","cpu.usage.average","%","359","0,2402","0,28","0,29","0,29","0,21","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-e1a4bd89-7d0d-48c2-bf3f-c78fac7b6cce","Cluster_ESS","cpu.usagemhz.average","MHz","359","4,5237","6","6","6","4","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-e1a4bd89-7d0d-48c2-bf3f-c78fac7b6cce","Cluster_ESS","disk.usage.average","KBps","359","5,4819","6","7","15","3","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-e1a4bd89-7d0d-48c2-bf3f-c78fac7b6cce","Cluster_ESS","mem.consumed.average","KB","359","129367,3148","130101","130110","130116","127622","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-e1a4bd89-7d0d-48c2-bf3f-c78fac7b6cce","Cluster_ESS","mem.usage.average","%","359","17,954","18,7","19,19","22,87","16,67","09/08/2026 22:00:00","08/09/2026 18:00:00"
