"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG002VMPPP001","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","2,0503","3","3","3","2","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMPPP001","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","16655265,3212","16656303","16656304","16656304","16517494","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMPPP001","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","1,0552","1,14","1,19","1,21","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMPPP001","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMPPP001","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0,2346","1","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMIWB220","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","8419,6061","8709","8848","10378","7944","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMIWB220","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,0585","0,06","0,06","0,07","0,05","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMIWB220","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","13,2291","14","14","17","13","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMIWB220","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","0,648","1","1","2","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMIWB220","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","30033508,2318","31260741","31371321","31392080","28676159","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMIWB220","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","0,9903","0,99","1","1,01","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMIWB220","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMIWB220","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP214","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","14228,4804","14649","14820","14927","13395","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP214","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,04","0,04","0,04","0,04","0,04","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP214","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","15,7318","16","16","16","15","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP214","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","1,0531","2","2","2","1","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP214","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","27124057,9274","28235856","28338432","28362701","25911300","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP214","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","0,9944","1,01","1,03","1,05","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP214","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMAPP214","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","24114,6564","24811","25154","25331","22447","10/08/2026 00:00:00","08/09/2026 18:00:00"
